,0
51,Un niño de nueve años recibe premio por construir una máquina de madera para lavarse las manos como medida para prevenir el avance del coronavirus: https://t.co/qNqWF7iLvm /CNN https://t.co/gy0qcm6B6V
52,"Bueno, bueno. Terminó el show ""coronavirus"". Ahora la atención cambia de rumbo. https://t.co/Xz67HEpLOQ"
53,"@luisesgo @nickwiger ""escuchar a la Autoridad Suprema, nuestras madres, cuando nos recomiendan que no vayamos a lugares muy aglomerados y que no intercambiemos fluidos con extraños"".

 https://t.co/Sbrfa2S5Er: https://t.co/gySoTG197c"
54,"#Coronavirus | #ibarra #semaforoamarillo El proceso para las personas que normalmente usamos las mascarillas y guantes,  desde el distrito de salud se recomienda que se desinfecte estos desechos y sean colocados en una funda aparte con doble nudo. 

https://t.co/EywF2yjvuQ https://t.co/GUTMIFYMDj"
55,"Qué diferencia hacen unas semanas para los medios. 

Antes: Protestando por la libertad de atrapar el coronavirus
Las protestas para re abrir los estados es la conclusión de un movimiento de libertad RETORCIDO.

Ahora: En Estados Unidos, la protesta es patriótica

#protest2020 https://t.co/5TJ7sHLyMe"
56,"SOLO PERIODISMO:
Al menos 127 periodistas han muerto de coronavirus en 31 países
https://t.co/9gFM5L4L8M"
57,"@LoroHomero @LoroHomero Nosotros sabemos y debemos cuidarnos, el Coronavirus es aún una amenaza en Quito; Ud. Alcalde Yunda cuide el dinero de nuestros impuestos, para que no se rroben sus amigos y funcionarios de su confianza."
58,Christian Braun: La ONU quiere IMPONER ABORTO… con la excusa del coronavirus - Firma: https://t.co/rQ1OLqRgyA
59,#Manabí suma 2.821 casos de #coronavirus hasta este sábado 6 de junio del 2020 según cifras del Ministerio de Salud Pública &gt;&gt;&gt; https://t.co/LndZlSQnbV https://t.co/pDzNFm9lsz
60,#Manabí suma 2.821 casos de #coronavirus hasta este sábado 6 de junio del 2020 según cifras del Ministerio de Salud Pública &gt;&gt;&gt; https://t.co/FYPTrzp2du https://t.co/2IyoWlceFN
61,"Estoy a un “no dejen la puerta abierta, se mete el virus” de salir y ser libre y ya nada el coronavirus."
62,"Sin fallecimientos por Coronavirus en las últimas horas en Cuenca y Guadalajara aunque, la amenaza, acecha. https://t.co/SV0avUeWhf"
63,#Manabí suma 2.821 casos de #coronavirus hasta este sábado 6 de junio del 2020 según cifras del Ministerio de Salud Pública &gt;&gt;&gt; https://t.co/Pe1JOcDv9F https://t.co/5uJ7FnE3Cy
64,"La Defensoría del Pueblo presentó una acción de protección para las familias que aún no pueden localizar los restos mortales de sus parientes, que fallecieron durante la emergencia sanitaria por el COVID-19 en Guayaquil. https://t.co/qtkc9wHvic"
65,#EmergenciaEc #Covid19Ec | #Ecuador suma 622 contagios y alcanza los 42.728 casos positivos para #coronavirus &gt;&gt;&gt; https://t.co/LndZlSQnbV https://t.co/71pXV2ZErI
66,El Gualaceo SC fue el primer club del Azuay en ser tomadas las pruebas para #Covid_19: https://t.co/pVZz7Ad1Sj https://t.co/TuAuRrMxwL
67,El pop latino mantiene su ritmo pese al coronavirus https://t.co/Q4oFH49LqI
